Title,Authors,Published,Summary,arXiv ID,URL
Yesnt: Are Diffusion Relighting Models Ready for Capture Stage Compositing? A Hybrid Alternative to Bridge the Gap,"Elisabeth Jüttner, Leona Krath, Stefan Korfhage, Hannah Dröge, Matthias B. Hullin, Markus Plack",2025-10-27,"Volumetric video relighting is essential for bringing captured performances into virtual worlds, but current approaches struggle to deliver temporally stable, production-ready results. Diffusion-based intrinsic decomposition methods show promise for single frames, yet suffer from stochastic noise and instability when extended to sequences, while video diffusion models remain constrained by memory and scale. We propose a hybrid relighting framework that combines diffusion-derived material priors with temporal regularization and physically motivated rendering. Our method aggregates multiple stochastic estimates of per-frame material properties into temporally consistent shading components, using optical-flow-guided regularization. For indirect effects such as shadows and reflections, we extract a mesh proxy from Gaussian Opacity Fields and render it within a standard graphics pipeline. Experiments on real and synthetic captures show that this hybrid strategy achieves substantially more stable relighting across sequences than diffusion-only baselines, while scaling beyond the clip lengths feasible for video diffusion. These results indicate that hybrid approaches, which balance learned priors with physically grounded constraints, are a practical step toward production-ready volumetric video relighting.",2510.23494v1,http://arxiv.org/abs/2510.23494v1
"UrbanIng-V2X: A Large-Scale Multi-Vehicle, Multi-Infrastructure Dataset Across Multiple Intersections for Cooperative Perception","Karthikeyan Chandra Sekaran, Markus Geisler, Dominik Rößle, Adithya Mohan, Daniel Cremers, Wolfgang Utschick, Michael Botsch, Werner Huber, Torsten Schön",2025-10-27,"Recent cooperative perception datasets have played a crucial role in advancing smart mobility applications by enabling information exchange between intelligent agents, helping to overcome challenges such as occlusions and improving overall scene understanding. While some existing real-world datasets incorporate both vehicle-to-vehicle and vehicle-to-infrastructure interactions, they are typically limited to a single intersection or a single vehicle. A comprehensive perception dataset featuring multiple connected vehicles and infrastructure sensors across several intersections remains unavailable, limiting the benchmarking of algorithms in diverse traffic environments. Consequently, overfitting can occur, and models may demonstrate misleadingly high performance due to similar intersection layouts and traffic participant behavior. To address this gap, we introduce UrbanIng-V2X, the first large-scale, multi-modal dataset supporting cooperative perception involving vehicles and infrastructure sensors deployed across three urban intersections in Ingolstadt, Germany. UrbanIng-V2X consists of 34 temporally aligned and spatially calibrated sensor sequences, each lasting 20 seconds. All sequences contain recordings from one of three intersections, involving two vehicles and up to three infrastructure-mounted sensor poles operating in coordinated scenarios. In total, UrbanIng-V2X provides data from 12 vehicle-mounted RGB cameras, 2 vehicle LiDARs, 17 infrastructure thermal cameras, and 12 infrastructure LiDARs. All sequences are annotated at a frequency of 10 Hz with 3D bounding boxes spanning 13 object classes, resulting in approximately 712k annotated instances across the dataset. We provide comprehensive evaluations using state-of-the-art cooperative perception methods and publicly release the codebase, dataset, HD map, and a digital twin of the complete data collection environment.",2510.23478v1,http://arxiv.org/abs/2510.23478v1
Trajectory-Aware Air-to-Ground Channel Characterization for Low-Altitude UAVs Using MaMIMO Measurements,"Abdul Saboor, Zhuangzhuang Cui, Achiel Colpaert, Evgenii Vinogradov, Wout Joseph, Sofie Pollin",2025-10-27,"This paper presents a comprehensive measurement-based trajectory-aware characterization of low-altitude Air-to-Ground (A2G) channels in a suburban environment. A 64-element Massive Multi-Input Multi-Output (MaMIMO) array was used to capture channels for three trajectories of an Uncrewed Aerial Vehicle (UAV), including two horizontal zig-zag flights at fixed altitudes and one vertical ascent, chosen to emulate AUE operations and to induce controlled azimuth and elevation sweeps for analyzing geometry-dependent propagation dynamics. We examine large-scale power variations and their correlation with geometric features, such as elevation, azimuth, and 3D distance, followed by an analysis of fading behavior through distribution fitting and Rician K-factor estimation. Furthermore, temporal non-stationarity is quantified using the Correlation Matrix Distance (CMD), and angular stationarity spans are utilized to demonstrate how channel characteristics change with the movement of the UAV. We also analyze Spectral Efficiency (SE) in relation to K-factor and Root Mean Square (RMS) delay spread, highlighting their combined influence on link performance. The results show that the elevation angle is the strongest predictor of the received power, with a correlation of more than 0.77 for each trajectory, while the Nakagami model best fits the small-scale fading. The K-factor increases from approximately 5 dB at low altitudes to over 15 dB at higher elevations, indicating stronger LoS dominance. Non-stationarity patterns are highly trajectory- and geometry-dependent, with azimuth most affected in horizontal flights and elevation during vertical flight. These findings offer valuable insights for modeling and improving UAV communication channels in 6G Non-Terrestrial Networks (NTNs).",2510.23465v1,http://arxiv.org/abs/2510.23465v1
Omni-Reward: Towards Generalist Omni-Modal Reward Modeling with Free-Form Preferences,"Zhuoran Jin, Hongbang Yuan, Kejian Zhu, Jiachun Li, Pengfei Cao, Yubo Chen, Kang Liu, Jun Zhao",2025-10-27,"Reward models (RMs) play a critical role in aligning AI behaviors with human preferences, yet they face two fundamental challenges: (1) Modality Imbalance, where most RMs are mainly focused on text and image modalities, offering limited support for video, audio, and other modalities; and (2) Preference Rigidity, where training on fixed binary preference pairs fails to capture the complexity and diversity of personalized preferences. To address the above challenges, we propose Omni-Reward, a step toward generalist omni-modal reward modeling with support for free-form preferences, consisting of: (1) Evaluation: We introduce Omni-RewardBench, the first omni-modal RM benchmark with free-form preferences, covering nine tasks across five modalities including text, image, video, audio, and 3D; (2) Data: We construct Omni-RewardData, a multimodal preference dataset comprising 248K general preference pairs and 69K instruction-tuning pairs for training generalist omni-modal RMs; (3) Model: We propose Omni-RewardModel, which includes both discriminative and generative RMs, and achieves strong performance on Omni-RewardBench as well as other widely used reward modeling benchmarks.",2510.23451v1,http://arxiv.org/abs/2510.23451v1
A Physics-Informed Variational Inference Framework for Identifying Attributions of Extreme Stress Events in Low-Grain Polycrystals,"Yinling Zhang, Samuel D. Dunham, Curt A. Bronkhorst, Nan Chen",2025-10-27,"Polycrystalline metal failure often begins with stress concentration at grain boundaries. Identifying which microstructural features trigger these events is important but challenging because these extreme damage events are rare and the failure mechanisms involve multiple complex processes across scales. Most existing inference methods focus on average behavior rather than rare events, whereas standard sample-based methods are computationally expensive for high-dimensional complex systems. In this paper, we develop a new variational inference framework that integrates a recently developed computationally efficient physics-informed statistical model with extreme value statistics to significantly facilitate the identification of material failure attributions. First, we reformulate the objective to emphasize observed exceedances by incorporating extreme-value theory into the likelihood, thereby highlighting tail behavior. Second, we constrain inference via a physics-informed statistical model that characterizes microstructure-stress relationships, which uniquely provides physically consistent predictions for these rare events. Third, mixture models in a reduced latent space are developed to capture the non-Gaussian characteristics of microstructural features, allowing the identification of multiple underlying mechanisms. In both controlled and realistic experimental tests for the bicrystal configuration, the framework achieves reliable extreme-event prediction and reveals the microstructural features associated with material failure, providing physical insights for material design with uncertainty quantification.",2510.23437v1,http://arxiv.org/abs/2510.23437v1
MiCADangelo: Fine-Grained Reconstruction of Constrained CAD Models from 3D Scans,"Ahmet Serdar Karadeniz, Dimitrios Mallis, Danila Rukhovich, Kseniya Cherenkova, Anis Kacem, Djamila Aouada",2025-10-27,"Computer-Aided Design (CAD) plays a foundational role in modern manufacturing and product development, often requiring designers to modify or build upon existing models. Converting 3D scans into parametric CAD representations--a process known as CAD reverse engineering--remains a significant challenge due to the high precision and structural complexity of CAD models. Existing deep learning-based approaches typically fall into two categories: bottom-up, geometry-driven methods, which often fail to produce fully parametric outputs, and top-down strategies, which tend to overlook fine-grained geometric details. Moreover, current methods neglect an essential aspect of CAD modeling: sketch-level constraints. In this work, we introduce a novel approach to CAD reverse engineering inspired by how human designers manually perform the task. Our method leverages multi-plane cross-sections to extract 2D patterns and capture fine parametric details more effectively. It enables the reconstruction of detailed and editable CAD models, outperforming state-of-the-art methods and, for the first time, incorporating sketch constraints directly into the reconstruction process.",2510.23429v1,http://arxiv.org/abs/2510.23429v1
A grad-curl conforming virtual element method for a grad-curl problem linking the 3D quad-curl problem and Stokes system,"Xiaojing Dong, Yibing Han, Yunqing Huang",2025-10-27,"Based on the Stokes complex with vanishing boundary conditions and its dual complex, we reinterpret a grad-curl problem arising from the quad-curl problem as a new vector potential formulation of the three-dimensional Stokes system. By extending the analysis to the corresponding non-homogeneous problems and the accompanying trace complex, we construct a novel $\boldsymbol{H}(\operatorname{grad-curl})$-conforming virtual element space with arbitrary approximation order that satisfies the exactness of the associated discrete Stokes complex. In the lowest-order case, three degrees of freedom are assigned to each vertex and one to each edge. For the grad-curl problem, we rigorously establish the interpolation error estimates, the stability of discrete bilinear forms, and the convergence of the proposed element on polyhedral meshes. As a discrete vector potential formulation of the Stokes problem, the resulting system is pressure-decoupled and symmetric positive definite. Some numerical examples are presented to verify the theoretical results.",2510.23425v1,http://arxiv.org/abs/2510.23425v1
Quality-controlled registration of urban MLS point clouds reducing drift effects by adaptive fragmentation,"Marco Antonio Ortiz Rincon, Yihui Yang, Christoph Holst",2025-10-27,"This study presents a novel workflow designed to efficiently and accurately register large-scale mobile laser scanning (MLS) point clouds to a target model point cloud in urban street scenarios. This workflow specifically targets the complexities inherent in urban environments and adeptly addresses the challenges of integrating point clouds that vary in density, noise characteristics, and occlusion scenarios, which are common in bustling city centers. Two methodological advancements are introduced. First, the proposed Semi-sphere Check (SSC) preprocessing technique optimally fragments MLS trajectory data by identifying mutually orthogonal planar surfaces. This step reduces the impact of MLS drift on the accuracy of the entire point cloud registration, while ensuring sufficient geometric features within each fragment to avoid local minima. Second, we propose Planar Voxel-based Generalized Iterative Closest Point (PV-GICP), a fine registration method that selectively utilizes planar surfaces within voxel partitions. This pre-process strategy not only improves registration accuracy but also reduces computation time by more than 50% compared to conventional point-to-plane ICP methods. Experiments on real-world datasets from Munich's inner city demonstrate that our workflow achieves sub-0.01 m average registration accuracy while significantly shortening processing times. The results underscore the potential of the proposed methods to advance automated 3D urban modeling and updating, with direct applications in urban planning, infrastructure management, and dynamic city monitoring.",2510.23416v1,http://arxiv.org/abs/2510.23416v1
Towards Generalisable Foundation Models for 3D Brain MRI,"Moona Mazher, Geoff J. M. Parker, Daniel C. Alexander",2025-10-27,"Foundation models in artificial intelligence (AI) are transforming medical imaging by enabling general-purpose feature learning from large-scale, unlabeled datasets. In this work, we introduce BrainFound, a self-supervised foundation model for brain MRI, built by extending DINO-v2, a vision transformer originally designed for 2D natural images. BrainFound adapts DINO-v2 to model full 3D brain anatomy by incorporating volumetric information from sequential MRI slices, moving beyond conventional single-slice paradigms. It supports both single- and multimodal inputs, enabling a broad range of downstream tasks, including disease detection and image segmentation, while generalising across varied imaging protocols and clinical scenarios. We show that BrainFound consistently outperforms existing self-supervised pretraining strategies and supervised baselines, particularly in label-scarce and multi-contrast settings. By integrating information from diverse 3D MRI modalities (e.g., T1, T2, FLAIR), it enhances diagnostic accuracy and reduces dependency on extensive expert annotations. This flexibility makes BrainFound a scalable and practical solution for 3D neuroimaging pipelines, with significant potential for clinical deployment and research innovation.",2510.23415v1,http://arxiv.org/abs/2510.23415v1
Free-space quantum interface of a single atomic tweezer array with light,"Yakov Solomons, Roni Ben-Maimon, Arpit Behera, Ofer Firstenberg, Nir Davidson, Ephraim Shahmoon",2025-10-27,"We present a practical approach for interfacing light with a two-dimensional atomic tweezer array. Typical paraxial fields are poorly matched to the array's multi-diffraction-order radiation pattern, thus severely limiting the interface coupling efficiency. Instead, we propose to design a field mode that naturally couples to the array: it consists of a unique superposition of multiple beams corresponding to the array's diffraction orders. This composite mode can be generated from a single Gaussian beam using standard free-space optics, including spatial light modulators and a single objective lens. For a triangular array with lattice spacing about twice the wavelength, all diffraction angles remain below 35 degrees, making the scheme compatible with standard objectives of numerical aperture NA <= 0.7. Our analytical theory and scattering simulations reveal that the interface efficiency r0 for quantum information tasks scales favorably with the array atom number N: reaching >0.99 (>0.9999) for N = 149 (N approximately 1000) and scaling as 1 - r0 scales as 1/N for large N. The scheme is robust to optical imperfections and atomic-position errors, offering a viable path for quantum light-matter applications and state readout in current tweezer-array platforms.",2510.23398v1,http://arxiv.org/abs/2510.23398v1
Investigation of Resonances in the $Σ({1/2}^{-})$ System Based on the Chiral Quark Model,"Yu Yao, Xuejie Liu, Xiaoyun Chen, Yuheng Wu, Jialun Ping, Yue Tan, Qi Huang",2025-10-27,"In this work, we investigate the resonance structures in the $\Sigma(1/2^-)$ system from both three-quark and five-quark perspectives within the framework of the chiral quark model. An accurate few-body computational approach, the Gaussian Expansion Method, is employed to construct the orbital wave functions of multiquark states. To reduce the model dependence on parameters, we fit two sets of parameters to check the stability of the results. The calculations show that our results remain stable despite changes in the parameters. In the three-quark calculations, two $\Sigma(1/2^-)$ states are obtained with energies around 1.8~GeV, which are good candidates for the experimentally observed $\Sigma(1750)$ and $\Sigma(1900)$. In the five-quark configuration, several stable resonance states are identified, including $\Sigma \pi$, $N \bar{K}$, and $N \bar{K}^{*}$. These resonance states survive the channel-coupling calculations under the complex-scaling framework and manifest as stable structures. Our results support the existence of a two-pole structure for the $\Sigma(1/2^-)$ system, predominantly composed of $\Sigma \pi$ and $N \bar{K}$ configurations, analogous to the well-known $\Lambda(1380)$-$\Lambda(1405)$ ($\Sigma \pi$-$N \bar{K}$) system. On the other hand, although the energy of the $N \bar{K}^{*}$ configuration is close to that of $\Sigma(1750)$ and $\Sigma(1900)$, the obtained width is not consistent with the experimental values. This suggests that the $N \bar{K}^{*}$ state needs to mix with three-quark components to better explain the experimental $\Sigma(1750)$ and $\Sigma(1900)$ states. According to our decay width calculations, the predicted two resonance states are primarily composed of $\Sigma \pi$ and $N \bar{K}$, with their main decay channel being $\Lambda \pi$.",2510.23378v1,http://arxiv.org/abs/2510.23378v1
Primordial Non-Gaussianity from a String-Inspired Cosmology,M. Meo,2025-10-27,"The interplay between string theory and early-universe cosmology offers promising avenues to explore high-energy regimes where the standard single-field slow-roll model may no longer provide an accurate description. One intriguing scenario emerges from certain non-supersymmetric string models, where supersymmetry breaking induces a non-trivial vacuum energy, or more precisely an exponential potential for scalar fields, and primarily for the dilaton. This setup gives rise to the so-called ""climbing scalar"" phenomenon, whereby the scalar is forced to emerge from the initial singularity while climbing up the potential, if sufficiently steep. This phase precedes a turning point, and the subsequent descent can support inflation. The resulting pre-inflationary dynamics can leave imprints in cosmological observables. To begin with, it induces a low-frequency cut in the primordial power spectrum that resonates with the lack of power present in the first few CMB multipoles. The main theme of this work is to clarify its possible effect on non-Gaussianities.",2510.23377v1,http://arxiv.org/abs/2510.23377v1
Ground-state phase diagram of S = 1/2 Heisenberg model on 2D square-hexagon-octagon lattice,"Yumeng Luo, Yuehong Li, Mengfan Jiang, Muwei Wu, Jian-Jian Yang, Dao-Xin Yao, Han-Qing Wu",2025-10-27,"Using stochastic series expansion quantum Monte Carlo method and density matrix renormalization group, we study the ground-state phase diagram of $S=1/2$ Heisenberg model on 2D square-hexagon-octagon (SHO) lattice. In this model, we consider two kinds of nearest-neighbor interaction (intra-hexagon interaction $J_1$ and inter-hexagon $J_2$) and the selected third nearest-neighbor interaction $J_3$ along $x$ direction. From our calculations, there are five phases in the parameters regime $0<\lambda_1=J_2/J_1<4, 0<\lambda_2=J_3/J_1<4$, including a N\'eel antiferromagentic phase, a Haldane-like symmetry protected topological phase, a hexagon phase and two dimer phases. In the Haldane-like SPT phase, we characterized its topological nature using the degeneracy of ground-state energy under open boundary condition and the entanglement spectrum. To characterize the phase boundaries, we use spin stiffness and Binder cumulant to do the comprehensive finite-size scalings. From data collapse, the critical behaviors of all the nonmagnetic phases to the antiferromagnetic phase belong to the 3D $O(3)$ Heisenberg universality class. As a theoretical exploration, our work establishes a foundational framework for understanding 2D magnetism on the SHO lattice.",2510.23376v1,http://arxiv.org/abs/2510.23376v1
"Quadratic Truncated Random Return in Distributional LQR: Positive Definiteness, Density, and Log-Concavity","Ruyi Teng, Dan Wang, Wei Chen, Yulong Gao",2025-10-27,"Distributional linear quadratic regulator (LQR) is a new framework that integrates the distributional reinforcement learning and classical LQR, which offers a new way to study the random return instead of the expected cost. Unlike iterative approximation using dynamic programming in the DRL, a closed-form expression for the random return can be exactly characterized in the distributional LQR, which is defined over infinitely many random variables. In recent work [1, 2], it has been shown that this random return can be well approximated by a finite number of random variables, which we call truncated random return. In this paper, we study the truncated random return in the distributional LQR. We show that the truncated random return can be naturally expressed in the quadratic form. We develop a sufficient condition for the positive definiteness of the block symmetric matrix in the quadratic form and provide the lower and upper bounds on the eigenvalues of this matrix. We further show that in this case, the truncated random return follows a positively weighted non-central chi-square distribution if the random disturbances admits Gaussian, and its cumulative distribution function is log-concave if the probability density function of the random disturbances is log-concave.",2510.23332v1,http://arxiv.org/abs/2510.23332v1
